,paper_url,paper_title,paper_description,publication_date,tags,excluded_tags,keyword_tags,should_be_included,,,,
0,/citations?view_op=view_citation&hl=en&user=09enRf4AAAAJ&sortby=pubdate&citation_for_view=09enRf4AAAAJ:hqOjcs7Dif8C,determining the secondary structure of elapid toxins using multi-layer perceptrons and kohonen networks,,2018/4,['ai_keywords'],[],['multi layer perceptron'],Yes,,Yes,No,Unsure
1,/citations?view_op=view_citation&hl=en&user=09enRf4AAAAJ&sortby=pubdate&citation_for_view=09enRf4AAAAJ:zYLM7Y9cAGgC,classifying snake toxins using decision trees,"Snake toxins are a group of peptides found in snake venoms, which have some form of adverse physiological effects on humans and/or animals. Primarily these consist of neurotoxins, cytotoxins and cardiotoxins, which directly affect the nervous system, skin and muscle tissues, and the heart muscle tissues respectively. In this short paper, we show how, given a protein sequence, we can classify it either as a neurotoxic, a cytotoxic or a cardiotoxic peptide using decision trees. Such classification can be helpful when the phsiological effects of a new venom peptide need to be determined given its sequence information only.",2016/8,['ai_keywords'],[],['decision tree'],Yes,,,,
2,/citations?view_op=view_citation&hl=en&user=0E4dHV8AAAAJ&sortby=pubdate&citation_for_view=0E4dHV8AAAAJ:u-x6o8ySG0sC,oil price shocks and european industries,We investigate the impact of oil price shocks at the industry level in the Euro area for the period 1983–2007. We use different oil price specifications and use dynamic VAR models and multivariate regression to investigate how 38 different industries respond to oil price shocks. We pay specific attention to the asymmetry of the industries' responses regarding oil price increases and decreases. We find that the impact of oil price shocks substantially differs along the different industries. We find that the significance of this result also differs along the various oil price specifications. The results are quite robust to the way in which we model the problem.,2012/7/1,['ai_keywords'],[],['regression'],No,,,,
3,/citations?view_op=view_citation&hl=en&user=36oPDJcAAAAJ&sortby=pubdate&citation_for_view=36oPDJcAAAAJ:u5HHmVD_uO8C,assessing risk of stealing proprietary models for medical imaging tasks,"The success of deep learning in medical imaging applications has led several companies to deploy proprietary models in diagnostic workflows, offering monetized services. Even though model weights are hidden to protect the intellectual property of the service provider, these models are exposed to model stealing (MS) attacks, where adversaries can clone the model’s functionality by querying it with a proxy dataset and training a thief model on the acquired predictions. While extensively studied on general vision tasks, the susceptibility of medical imaging models to MS attacks remains inadequately explored. This paper investigates the vulnerability of black-box medical imaging models to MS attacks under realistic conditions where the adversary lacks access to the victim model’s training data and operates with limited query budgets. We demonstrate that adversaries can effectively execute MS attacks by using …",2024/10/3,['ai_keywords'],[],['deep learning'],,,,,
4,/citations?view_op=view_citation&hl=en&user=4dfRX6oAAAAJ&sortby=pubdate&citation_for_view=4dfRX6oAAAAJ:u5HHmVD_uO8C,federated sinkhorn,"In this work we investigate the potential of solving the discrete Optimal Transport (OT) problem with entropy regularization in a federated learning setting. Recall that the celebrated Sinkhorn algorithm transforms the classical OT linear program into strongly convex constrained optimization, facilitating first order methods for otherwise intractably large problems. A common contemporary setting that remains an open problem as far as the application of Sinkhorn is the presence of data spread across clients with distributed inter-communication, either due to clients whose privacy is a concern, or simply by necessity of processing and memory hardware limitations. In this work we investigate various natural procedures, which we refer to as Federated Sinkhorn, that handle distributed environments where data is partitioned across multiple clients. We formulate the problem as minimizing the transport cost with an entropy regularization term, subject to marginal constraints, where block components of the source and target distribution vectors are locally known to clients corresponding to each block. We consider both synchronous and asynchronous variants as well as all-to-all and server-client communication topology protocols. Each procedure allows clients to compute local operations on their data partition while periodically exchanging information with others. We provide theoretical guarantees on convergence for the different variants under different possible conditions. We empirically demonstrate the algorithms performance on synthetic datasets and a real-world financial risk assessment application. The investigation highlights the subtle tradeoffs …",2025/2/10,['ai_keywords'],[],"['synthetic data', 'federated learning']",Yes,,,,
5,/citations?view_op=view_citation&hl=en&user=5Q3R8rsAAAAJ&sortby=pubdate&citation_for_view=5Q3R8rsAAAAJ:2osOgNQ5qMEC,implications of being discrete and spatial for detecting early warning signals of regime shifts,"Theory suggests that ecological systems exhibit a pronounced slow down in their dynamics, known as ‘critical slowing down’ (CSD), before they undergo regime shifts or critical transitions. As a result of CSD, ecosystems exhibit characteristic temporal and spatial changes which can be used as early warning signals of imminent regime shifts. For temporal data, statistical methods to detect these generic indicators of ecosystem resilience are well developed. However, for spatial data, despite a well developed theoretical framework, statistical methods such as data pre-processing and null models to detect EWS are relatively poorly developed. In this manuscript, we investigate the case of a common type of ecological spatial dataset which consists of binary values at each location (e.g. occupied/unoccupied, tree/grass or coralline/bleached). We employ a cellular-automaton based spatially-explicit model which …",2018/11/1,['ai_keywords'],[],['data pre processing'],No,,,,
6,/citations?view_op=view_citation&hl=en&user=6UgVkhUAAAAJ&sortby=pubdate&citation_for_view=6UgVkhUAAAAJ:9yKSN-GCB0IC,a global data-driven forecasting approach for buildings energy demand prediction,"Energy demand prediction is a key factor for buildings operation optimization, and energy conservations. Recently, the rapid advancement of sensing technology, and smart meters in the buildings sector has allowed to record and collect large amount of building energy datasets which can provides the opportunity to understand how these buildings are being used to optimize and reduce their daily energy usage. Nevertheless, the majority of existing works have mostly been focused on the utilization of data-driven approaches to predict the future energy demand for one building at once. This study attempts to address this gap by proposing a Global Data-driven Forecasting Approach which has been trained with several time series datasets from a group of residential buildings. Utilizing the proposed approach offers numerous benefits including: (I) better generalisation ability on predicting the future energy demand for …",2023/7/7,['ai_keywords'],[],['data driven'],Yes,,,,
7,/citations?view_op=view_citation&hl=en&user=6UgVkhUAAAAJ&sortby=pubdate&citation_for_view=6UgVkhUAAAAJ:Tyk-4Ss8FVUC,predicting the impact of climate change on building energy consumption by using data-driven approaches,"Buildings are complex thermodynamic entities that account for a large proportion of energy consumption. This work explores the application of data-driven models in order to forecast the building energy consumption over long time horizons. Long Short-Term-Memory and Random Forest are used to forecast hourly heating and cooling energy consumption in the Urban Sciences Building, that is located in the city of Newcastle upon Tyne, United Kingdom. A synthetic time-series dataset is constructed using: (I) a validated EnergyPlus model, and (II) operational data hosted by Newcastle Urban Observatory. The energy consumption forecast is made using future climate data that represents a high emission future scenario during a typical year, i.e., 2030, and 2080. The experimental results suggest that, on average over the next six decades, there will be a 45% reduction in annual heating load, accompanied by a 680 …",2024/12/24,['ai_keywords'],[],"['data driven', 'random forest', 'long short term memory']",Yes,,,,
8,/citations?view_op=view_citation&hl=en&user=6UgVkhUAAAAJ&sortby=pubdate&citation_for_view=6UgVkhUAAAAJ:Tyk-4Ss8FVUC,predicting the impact of climate change on building energy consumption by using data-driven approaches,"Buildings are complex thermodynamic entities that account for a large proportion of energy consumption. This work explores the application of data-driven models in order to forecast the building energy consumption over long time horizons. Long Short-Term-Memory and Random Forest are used to forecast hourly heating and cooling energy consumption in the Urban Sciences Building, that is located in the city of Newcastle upon Tyne, United Kingdom. A synthetic time-series dataset is constructed using: (I) a validated EnergyPlus model, and (II) operational data hosted by Newcastle Urban Observatory. The energy consumption forecast is made using future climate data that represents a high emission future scenario during a typical year, i.e., 2030, and 2080. The experimental results suggest that, on average over the next six decades, there will be a 45% reduction in annual heating load, accompanied by a 680 …",2024/12/24,['ai_keywords'],[],"['data driven', 'random forest', 'long short term memory']",Yes,,,,
9,/citations?view_op=view_citation&hl=en&user=9go62_cAAAAJ&sortby=pubdate&citation_for_view=9go62_cAAAAJ:qjMakFHDy7sC,price jump detection in limit order book,"A limit order book provides information on available limit order prices and their volumes. Based on these quantities, we give an empirical result on the relationship between the bid-ask liquidity balance and trade sign and we show that liquidity balance on best bid/best ask is quite informative for predicting the future market order's direction. Moreover, we de ne price jump as a sell (buy) market order arrival which is executed at a price which is smaller (larger) than the best bid (best ask) price at the moment just after the precedent market order arrival. Features are then extracted related to limit order volumes, limit order price gaps, market order information and limit order event information. Logistic regression is applied to predict the price jump from the limit order book's feature. LASSO logistic regression is introduced to help us make variable selection from which we are capable to highlight the importance of di erent features in predicting the future price jump. In order to get rid of the intraday data seasonality, the analysis is based on two separated datasets: morning dataset and afternoon dataset. Based on an analysis on forty largest French stocks of CAC40, we nd that trade sign and market order size as well as the liquidity on the best bid (best ask) are consistently informative for predicting the incoming price jump.",2012/3/14,['ai_keywords'],[],['regression'],Unsure,,,,
