,company_name,paper_url,authors,title,description,excluded_tags,author_name,exclusion_reason
0,Commerzbank,/citations?view_op=view_citation&hl=en&user=TDAL0_EAAAAJ&sortby=pubdate&citation_for_view=TDAL0_EAAAAJ:WF5omc3nYNoC,"Ludvik Tesar, Hidefumi Kobatake, Akinobu Shimizu, Daniel Smutek",gaussian mixture model for texture-based medical image analysis,"In this paper, a method for medical diagnosing using Gaussian mixture model is presented. Gaussian mixture model is used for clustering of texture feature vectors. Medical diagnosing described here consists of learning part and inference part. In learning part knowledge is accumulated from cases with known diagnosis, which involves mixture model parameters estimation for every diagnosis considered. Inference is done by calculating the mixture value and maximizing it over every diagnosis considered. EM algorithm is used for Gaussian mixture model parameters estimation. For every possible diagnosis, parameters of one mixture model have to be calculated. To demonstrate the method, we present the experiment with real data, diagnosing the common liver lesions using computed tomography (CT) images.",,Ludvík Tesař,['no_publication_date']
1,Santander,/citations?view_op=view_citation&hl=en&user=mZn3e8wAAAAJ&sortby=pubdate&citation_for_view=mZn3e8wAAAAJ:M3ejUd6NZC8C,"José M Leiva-Murillo, Antonio Artés-Rodrıguez",algorithms for maximum-likelihood bandwidth,"Abstract 8 In machine learning and statistics, kernel density estimators are rarely used on multivariate data due to the difficulty of finding an appropriate kernel bandwidth to overcome overfitting. However, the recent advances on information-theoretic learning have revived the interest on these models. With this motivation, in this paper we revisit the classical statistical problem of data-driven bandwidth selection by cross-validation maximum likelihood for Gaussian kernels. We find a solution to the optimization problem under both the spherical and the general case where a full covariance matrix is considered for the kernel. The fixed-point algorithms proposed in this paper obtain the maximum likelihood bandwidth in few iterations, without performing an exhaustive bandwidth search, which is unfeasible in the multivariate case. The convergence of the methods proposed is proved. A set of classification experiments are performed to prove the usefulness of the obtained models in pattern recognition.",,Jose M. Leiva Murillo,['no_publication_date']
2,JPMorganChase,/citations?view_op=view_citation&hl=en&user=-NOTfHIAAAAJ&sortby=pubdate&citation_for_view=-NOTfHIAAAAJ:d1gkVwhDpl0C,"Sarbaree Mishra, V Komandla, S Bandi, S Konidala, J Manda",training ai models on sensitive data-the federated learning approach,,,Sairamesh Konidala,['no_tags']
3,JPMorganChase,/citations?view_op=view_citation&hl=en&user=-NOTfHIAAAAJ&sortby=pubdate&citation_for_view=-NOTfHIAAAAJ:mVmsd5A6BfQC,Sairamesh Konidala,designing and implementing efficient data pipelines for machine learning workflows,,,Sairamesh Konidala,['no_tags']
4,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1WkDG2UAAAAJ&sortby=pubdate&citation_for_view=1WkDG2UAAAAJ:d1gkVwhDpl0C,"Ryan S DeFever, Colin Targonski, Steven W Hall, Melissa C Smith, Sapna Sarupria",a generalized deep learning approach for local structure identification in molecular simulations,"Identifying local structure in molecular simulations is of utmost importance. The most common existing approach to identify local structure is to calculate some geometrical quantity referred to as an order parameter. In simple cases order parameters are physically intuitive and trivial to develop (e.g., ion-pair distance), however in most cases, order parameter development becomes a much more difficult endeavor (e.g., crystal structure identification). Using ideas from computer vision, we adapt a specific type of neural network called a PointNet to identify local structural environments in molecular simulations. A primary challenge in applying machine learning techniques to simulation is selecting the appropriate input features. This challenge is system-specific and requires significant human input and intuition. In contrast, our approach is a generic framework that requires no system-specific feature engineering and …",['excluded_keywords'],Colin Targonski,['excluded_tags']
5,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1YLCVDgAAAAJ&sortby=pubdate&citation_for_view=1YLCVDgAAAAJ:YsMSGLbcyi4C,"Simin Chen, Hanlin Chen, Mirazul Haque, Cong Liu, Wei Yang",slothbomb: efficiency poisoning attack against dynamic neural networks,"Recent increases in deploying deep neural networks (DNNs) on resource-constrained devices, combined with the observation that not all input samples require the same amount of computations, have sparked interest in input-adaptive dynamic neural networks (DyNNs). These DyNNs bring in more efficient inferences and enable deploying DNNs on resource-constrained devices e.g., mobile devices. In this work, we study a new vulnerability about DyNNs: can adversaries manipulate the DyNNs efficiency to provide a false sense of efficiency? To answer this question, we design SlothBomb, an adversarial attack that injects efficiency backdoors in DyNNs. SlothBomb can poison just a minimal percentage of DyNNs training data to inject a backdoor trigger into DyNNs. In the inference time, SlothBomb can use the backdoor trigger to slow down DyNNs and abuse the computational resources of DyNNs - an availability threat analogous to the denial-of-service attacks. We evaluate SlothBomb on three DNN backbone architectures (based on VGG16, MobileNet, and ResNet56) on two popular datasets (CIFAR-10 and Tiny ImageNet) We show that a SlothBomb reduces the efficacy of DyNNs on triggered input samples while keeping almost the same efficiency on clean samples.",,Mirazul Haque,['no_publication_date']
7,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:0EnyYjriUFMC,"Saket Sharma, Aviral Joshi, Yiyun Zhao, Namrata Mukhija, Hanoz Bhathena, Prateek Singh, Sashank Santhanam",when and how to paraphrase for named entity recognition,"While paraphrasing is a promising approach for data augmentation in classification tasks, its effect on named entity recognition (NER) is not investigated systematically due to the difficulty of span-level label preservation. In this paper, we utilize simple strategies to annotate entity spans in generations and compare established and novel methods of paraphrasing in NLP such as back translation, specialized encoder-decoder models such as Pegasus, and GPT-3 variants for their effectiveness in improving downstream performance for NER across different levels of gold annotations and paraphrasing strength on 5 datasets. We thoroughly explore the influence of paraphrasers, and dynamics between paraphrasing strength and gold dataset size on the NER performance with visualizations and statistical testing. We find that the choice of the paraphraser greatly impacts NER performance, with one of the larger GPT-3 variants exceedingly capable of generating high quality paraphrases, yielding statistically significant improvements in NER performance with increasing paraphrasing strength, while other paraphrasers show more mixed results. Additionally, inline auto annotations generated by larger GPT-3 are strictly better than heuristic based annotations. We also find diminishing benefits of paraphrasing as gold annotations increase for most datasets. Furthermore, while most paraphrasers promote entity memorization in NER, the proposed GPT-3 configuration performs most favorably among the compared paraphrasers when tested on unseen entities, with memorization reducing further with paraphrasing strength. Finally, we explore mention …",,,['no_author_name']
8,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:2osOgNQ5qMEC,"Yiyun Zhao, Steven Bethard",how does bert’s attention change when you fine-tune? an analysis methodology and a case study in negation scope,"Large pretrained language models like BERT, after fine-tuning to a downstream task, have achieved high performance on a variety of NLP problems. Yet explaining their decisions is difficult despite recent work probing their internal representations. We propose a procedure and analysis methods that take a hypothesis of how a transformer-based model might encode a linguistic phenomenon, and test the validity of that hypothesis based on a comparison between knowledge-related downstream tasks with downstream control tasks, and measurement of cross-dataset consistency. We apply this methodology to test BERT and RoBERTa on a hypothesis that some attention heads will consistently attend from a word in negation scope to the negation cue. We find that after fine-tuning BERT and RoBERTa on a negation scope task, the average attention head improves its sensitivity to negation and its attention consistency across negation datasets compared to the pre-trained models. However, only the base models (not the large models) improve compared to a control task, indicating there is evidence for a shallow encoding of negation only in the base models.",,,['no_author_name']
10,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:5nxA0vEk-isC,"Yiyun Zhao, Prateek Singh, Hanoz Bhathena, Saket Sharma, Bernardo Ramos, Aviral Joshi, Swaroop Gadiyaram",optimizing llm based retrieval augmented generation pipelines in the financial domain,"Retrieval Augmented Generation (RAG) is a prominent approach in real-word applications for grounding large language model (LLM) generations in up to date and domain-specific knowledge. However, there is a lack of systematic investigations of the impact of each component (retrieval quality, prompts, generation models) on the generation quality of a RAG pipeline in real world scenarios. In this study, we benchmark 6 LLMs in 15 retrieval scenarios exploring 9 prompts over 2 real world financial domain datasets. We thoroughly discuss the impact of each component in RAG pipeline on answer generation quality and formulate specific recommendations for the design of RAG systems.",,,['no_author_name']
11,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:8k81kl-MbHgC,"Myeongjun Jang, Antonios Georgiadis, Yiyun Zhao, Fran Silavong",driftwatch: a tool that automatically detects data drift and extracts representative examples affected by drift,"Data drift, which denotes a misalignment between the distribution of reference (ie, training) and production data, constitutes a significant challenge for AI applications, as it undermines the generalisation capacity of machine learning (ML) models. Therefore, it is imperative to proactively identify data drift before users meet with performance degradation. Moreover, to ensure the successful execution of AI services, endeavours should be directed not only toward detecting the occurrence of drift but also toward effectively addressing this challenge.% considering the limited resources prevalent in practical industrial domains. In this work, we introduce a tool designed to detect data drift in text data. In addition, we propose an unsupervised sampling technique for extracting representative examples from drifted instances. This approach bestows a practical advantage by significantly reducing expenses associated with annotating the labels for drifted instances, an essential prerequisite for retraining the model to sustain its performance on production data.",,,['no_author_name']
